Unnamed: 0,Total Confirmed,ARIMA,LSTM,GRU,prophet,Hybrid ARIMA+ANN,Proposed Model
12/24/22,44678330,47054382.05587542,46445090.0,45340400.0,52630073.0,45145594.68087542,45145626.18958688
12/25/22,44678517,47075001.036250725,46445372.0,45340620.0,52631151.0,45166213.661250725,45166245.16996218
12/26/22,44678683,47095620.01934669,46445600.0,45340796.0,52627074.0,45186832.64434669,45186864.15305814
12/27/22,44678871,47116239.00500176,46445804.0,45340956.0,52632297.0,45207451.63000176,45207483.13871321
12/28/22,44679139,47136857.99306397,46446030.0,45341132.0,52655360.0,45228070.618063964,45228102.12677541
12/29/22,44679382,47157476.983390346,46446364.0,45341388.0,52678932.0,45248689.608390346,45248721.1171018
12/30/22,44679608,47178095.97584647,46446664.0,45341620.0,52709299.0,45269308.60084647,45269340.10955793
12/31/22,44679873,47198714.97030585,46446944.0,45341830.0,52747986.0,45289927.59530585,45289959.1040173
1/1/23,44680046,47219333.96664954,46447276.0,45342084.0,52795728.0,45310546.59164954,45310578.10036099
1/2/23,44680180,47239952.96476563,46447490.0,45342256.0,52847369.0,45331165.58976563,45331197.09847708
1/3/23,44680355,47260571.96454888,46447650.0,45342376.0,52916969.0,45351784.58954888,45351816.09826033
1/4/23,44680543,47281190.96590028,46447864.0,45342544.0,53012498.0,45372403.59090028,45372435.09961173
1/5/23,44680771,47301809.96872671,46448100.0,45342730.0,53115879.0,45393022.59372671,45393054.10243817
1/6/23,44680985,47322428.97294058,46448376.0,45342936.0,53232500.0,45413641.59794058,45413673.10665204
1/7/23,44681148,47343047.9784595,46448644.0,45343140.0,53362841.0,45434260.6034595,45434292.11217095
1/8/23,44681318,47363666.98520597,46448850.0,45343304.0,53506470.0,45454879.61020597,45454911.11891742
1/9/23,44681439,47384285.993107095,46449056.0,45343460.0,53656966.0,45475498.618107095,45475530.12681855
1/10/23,44681610,47404905.00209431,46449200.0,45343576.0,53827042.0,45496117.627094306,45496149.13580576
1/11/23,44681807,47425524.01210311,46449412.0,45343736.0,54023273.0,45516736.63710311,45516768.14581457
1/12/23,44681981,47446143.02307283,46449664.0,45343932.0,54226165.0,45537355.64807283,45537387.15678428
1/13/23,44682160,47466762.03494642,46449870.0,45344092.0,54439690.0,45557974.65994642,45558006.16865787
1/14/23,44682264,47487381.04767019,46450092.0,45344260.0,54662947.0,45578593.67267019,45578625.18138164
1/15/23,44682378,47508000.06119367,46450220.0,45344360.0,54894180.0,45599212.68619367,45599244.19490512
1/16/23,44682467,47528619.07546935,46450364.0,45344468.0,55125729.0,45619831.70046935,45619863.2091808
1/17/23,44682595,47549238.09045259,46450468.0,45344556.0,55369177.0,45640450.71545259,45640482.22416404
1/18/23,44682729,47569857.10610135,46450628.0,45344670.0,55630096.0,45661069.73110135,45661101.239812806
1/19/23,44682874,47590476.122376114,46450790.0,45344804.0,55888140.0,45681688.747376114,45681720.25608757
1/20/23,44683005,47611095.13923971,46450980.0,45344940.0,56146587.0,45702307.76423971,45702339.27295117
1/21/23,44683145,47631714.15665717,46451136.0,45345064.0,56404018.0,45722926.781657174,45722958.29036863
1/22/23,44683239,47652333.17459561,46451304.0,45345196.0,56658340.0,45743545.79959561,45743577.30830707
1/23/23,44683328,47672952.19302408,46451420.0,45345284.0,56901737.0,45764164.818024084,45764196.32673554
1/24/23,44683430,47693571.211913496,46451530.0,45345370.0,57145821.0,45784783.836913496,45784815.34562495
1/25/23,44683562,47714190.23123647,46451660.0,45345468.0,57396375.0,45805402.85623647,45805434.36494793
1/26/23,44683661,47734809.250967264,46451816.0,45345588.0,57633428.0,45826021.875967264,45826053.38467872
